proc_filesystems (5) - supported filesystems
bup-split (1)        - save individual files to bup backup sets
bzcat (1)            - decompresses files to stdout
bzcmp (1)            - compare bzip2 compressed files
bzdiff (1)           - compare bzip2 compressed files
bzegrep (1)          - search possibly bzip2 compressed files for a regular expression
bzexe (1)            - compress executable files in place
bzfgrep (1)          - search possibly bzip2 compressed files for a regular expression
bzgrep (1)           - search possibly bzip2 compressed files for a regular expression
bzip2 (1)            - a block-sorting file compressor, v1.0.8
bzip2recover (1)     - recovers data from damaged bzip2 files
bzless (1)           - file perusal filter for crt viewing of bzip2 compressed text
bzmore (1)           - file perusal filter for crt viewing of bzip2 compressed text
c_rehash (1ssl)      - Create symbolic links to files named by the hash values
cache_check (8)      - validates cache metadata on a device or file.
cache_dump (8)       - dump cache metadata from device or file to standard output.
cache_repair (8)     - repair cache binary metadata from device/file to device/file.
cache_restore (8)    - restore cache metadata file to device or file.
canonicalize_file_name (3) - return the canonicalized absolute pathname
capability.conf (5)  - configuration file for the pam_cap module
cat (1)              - concatenate files and print on the standard output
catdoc (1)           - reads MS-Word file and puts its content as plain text on standard output
catppt (1)           - reads MS-PowerPoint file and puts its content on standard output
cd-create-profile (1) - Color Manager Profile Creation Tool
cd-fix-profile (1)   - Color Manager Testing Tool
chacl (1)            - change the access control list of a file or directory
charmap (5)          - character set description file
chattr (1)           - change file attributes on a Linux file system
chcon (1)            - change file security context
chmod (1)            - change file mode bits
chmod (2)            - change permissions of a file
chown (1)            - change file owner and group
chown (2)            - change ownership of a file
chown32 (2)          - change ownership of a file
cifsdd (8)           - convert and copy a file over SMB
ciptool (1)          - Bluetooth Common ISDN Access Profile (CIP)
cksum (1)            - compute and verify file checksums
classes.conf (5)     - class configuration file for cups
client.conf (5)      - client configuration file for cups (deprecated on macos)
close (2)            - close a file descriptor
close_range (2)      - close all file descriptors in a given range
cmp (1)              - compare two files byte by byte
codepage (1)         - extract a codepage from an MSDOS codepage file
colrm (1)            - remove columns from a file
comm (1)             - compare two sorted files line by line
config (5ssl)        - OpenSSL CONF library configuration files
console-setup (5)    - configuration file for setupcon
copy_file_range (2)  - Copy a range of data from one file to another
core (5)             - core dump file
cp (1)               - copy files and directories
cpgr (8)             - copy with locking the given file to the password or group file
cpio (1)             - copy files to and from archives
cppw (8)             - copy with locking the given file to the password or group file
creat (2)            - open and possibly create a file
crontab (1)          - maintain crontab files for individual users (Vixie Cron)
cryfs (1)            - cryptographic filesystem for the cloud
cryptsetup-fvault2Dump (8) - dump the header information of a FVAULT2 (FileVault2 compatible) device
crypttab (5)         - static information about encrypted filesystems
csplit (1)           - split a file into sections determined by context lines
cups-browsed.conf (5) - server configuration file for cups-browsed
cups-files.conf (5)  - file and directory configuration file for cups
cups-genppdupdate (8) - update CUPS+Gutenprint PPD files
cups-snmp.conf (5)   - snmp configuration file for cups (deprecated)
cupsd-logs (5)       - cupsd log files (access_log, error_log, and page_log)
cupsd.conf (5)       - server configuration file for cups
cupsfilter (8)       - convert a file to another format using cups filters (deprecated)
cupstestppd (1)      - test conformance of ppd files (deprecated)
cut (1)              - remove sections from each line of files
cvtenc (1)           - file encoding converter
cvtsudoers (1)       - convert between sudoers file formats
dd (1)               - convert and copy a file
deb-buildinfo (5)    - Debian build information file format
deb-changelog (5)    - dpkg source packages' changelog file format
deb-changes (5)      - Debian upload changes control file format
deb-conffiles (5)    - package conffiles
deb-control (5)      - Debian binary package control file format
deb-extra-override (5) - Debian archive extra override file
deb-md5sums (5)      - package MD5 file digests
deb-origin (5)       - Vendor-specific information files
deb-override (5)     - Debian archive override file
deb-shlibs (5)       - Debian shared library information file
deb-src-control (5)  - Debian source package template control file format
deb-src-files (5)    - Debian distribute files format
deb-src-rules (5)    - Debian source package rules file
deb-src-symbols (5)  - Debian's extended shared library template file
deb-symbols (5)      - Debian's extended shared library information file
debugfs (8)          - ext2/ext3/ext4 file system debugger
debugfs.reiserfs (8) - The debugging tool for the ReiserFS filesystem.
debuginfod-client-config (7) - debuginfod client environment variables, cache control files and etc.
debugreiserfs (8)    - The debugging tool for the ReiserFS filesystem.
deluser.conf (5)     - configuration file fordeluser(8) and delgroup(8).
depmod (8)           - Generate modules.dep and map files.
desktop-file-edit (1) - Installation and edition of desktop files
desktop-file-install (1) - Installation and edition of desktop files
desktop-file-validate (1) - Validate desktop entry files
desktoptojson (8)    - Converts a .desktop file to a .json file.
df (1)               - report file system space usage
dh_installxmlcatalogs (1) - install and register XML catalog files
dhcpcd.conf (5)      - dhcpcd configuration file
diff (1)             - compare files line by line
diff3 (1)            - compare three files line by line
dir_colors (5)       - configuration file for dircolors(1)
dirfd (3)            - get directory stream file descriptor
dirname (1)          - strip last component from file name
dirtop-bpfcc (8)     - File reads and writes by directory. Top for directories.
dnssec-trust-anchors.d (5) - DNSSEC trust anchor configuration files
dosfsck (8)          - check and repair MS-DOS FAT filesystems
dosfslabel (8)       - set or get MS-DOS filesystem label or volume ID
dpkg-distaddfile (1) - add entries to debian/files
dpkg-divert (1)      - override a package's version of a file
dpkg-genbuildinfo (1) - generate Debian .buildinfo files
dpkg-genchanges (1)  - generate Debian .changes files
dpkg-gencontrol (1)  - generate Debian control files
dpkg-gensymbols (1)  - generate symbols files (shared library dependency information)
dpkg-mergechangelogs (1) - 3-way merge of debian/changelog files
dpkg-parsechangelog (1) - parse Debian changelog files
dpkg-scanpackages (1) - create Packages index files
dpkg-scansources (1) - create Sources index files
dpkg-statoverride (1) - override ownership and mode of files
dpkg.cfg (5)         - dpkg configuration file
Dpkg::BuildProfiles (3perl) - handle build profiles
Dpkg::Checksums (3perl) - generate and manipulate file checksums
Dpkg::Compression::FileHandle (3perl) - class dealing transparently with file compression
Dpkg::Conf (3perl)   - parse dpkg configuration files
Dpkg::Control::Info (3perl) - parse files like debian/control
Dpkg::Control::Tests (3perl) - parse files like debian/tests/control
Dpkg::Dist::Files (3perl) - handle built artifacts to distribute
Dpkg::File (3perl)   - file handling
Dpkg::Lock (3perl)   - file locking support
Dpkg::Shlibs::Symbol (3perl) - represent an object file symbol
Dpkg::Shlibs::SymbolFile (3perl) - represent a symbols file
Dpkg::Source::BinaryFiles (3perl) - manipulate debian/source/include-binaries files
Dpkg::Source::Format (3perl) - manipulate debian/source/format files
Dpkg::Source::Patch (3perl) - represent a patch file
dsc (5)              - Debian source package control file format
du (1)               - estimate file space usage
dumpe2fs (8)         - dump ext2/ext3/ext4 file system information
dup (2)              - duplicate a file descriptor
dup2 (2)             - duplicate a file descriptor
dup3 (2)             - duplicate a file descriptor
dvipdf (1)           - Convert TeX DVI file to PDF using ghostscript and dvips
e2fsck (8)           - check a Linux ext2/ext3/ext4 file system
e2fsck.conf (5)      - Configuration file for e2fsck
e2image (8)          - Save critical ext2/ext3/ext4 file system metadata to a file
e2label (8)          - Change the label on an ext2/ext3/ext4 file system
e2mmpstatus (8)      - Check MMP status of an ext4 file system
e2scrub (8)          - check the contents of a mounted ext[234] file system
e2scrub_all (8)      - check all mounted ext[234] file systems for errors.
e2undo (8)           - Replay an undo log for an ext2/ext3/ext4 file system
e4crypt (8)          - ext4 file system encryption utility
e4defrag (8)         - online defragmenter for ext4 file system
eaccess (3)          - check effective user's permissions for a file
editrc (5edit)       - configuration file for editline library
efibootdump (8)      - dump a boot entries from a variable or a file
elf (5)              - format of Executable and Linking Format (ELF) files
elfedit (1)          - update ELF header and program property of ELF files
encguess (1)         - guess character encodings of files
endgrent (3)         - get group file entry
endmntent (3)        - get filesystem descriptor file entry
endpwent (3)         - get password file entry
endspent (3)         - get shadow password file entry
endttyent (3)        - get ttys file entry
endutent (3)         - access utmp file entries
endutxent (3)        - access utmp file entries
environment (5)      - the environment variables config files
EOF (3const)         - end of file or error indicator
epoll_create (2)     - open an epoll file descriptor
epoll_create1 (2)    - open an epoll file descriptor
epoll_ctl (2)        - control interface for an epoll file descriptor
epoll_pwait (2)      - wait for an I/O event on an epoll file descriptor
epoll_pwait2 (2)     - wait for an I/O event on an epoll file descriptor
epoll_wait (2)       - wait for an I/O event on an epoll file descriptor
era_check (8)        - validate era metadata on device or file.
era_dump (8)         - dump era metadata from device or file to standard output.
era_restore (8)      - restore era metadata file to device or file.
erofs (5)            - the Enhanced Read-Only File System
euidaccess (3)       - check effective user's permissions for a file
eventfd (2)          - create a file descriptor for event notification
eventfd2 (2)         - create a file descriptor for event notification
eventfd_read (3)     - create a file descriptor for event notification
eventfd_write (3)    - create a file descriptor for event notification
exec (3)             - execute a file
execl (3)            - execute a file
execle (3)           - execute a file
execlp (3)           - execute a file
execv (3)            - execute a file
execveat (2)         - execute program relative to a directory file descriptor
execvp (3)           - execute a file
execvpe (3)          - execute a file
ext2 (5)             - the second extended file system
ext3 (5)             - the third extended file system
ext4 (5)             - the fourth extended file system
ext4slower-bpfcc (8) - Trace slow ext4 file operations, with per-event details.
faccessat (2)        - check user's permissions for a file
faccessat2 (2)       - check user's permissions for a file
fadvise64 (2)        - predeclare an access pattern for file data
fadvise64_64 (2)     - predeclare an access pattern for file data
faillock (8)         - Tool for displaying and modifying the authentication failure record files
faillock.conf (5)    - pam_faillock configuration file
faillog (5)          - login failure logging file
faked (1)            - daemon that remembers fake ownership/permissions of files manipulated by fakeroot processes.
faked-sysv (1)       - daemon that remembers fake ownership/permissions of files manipulated by fakeroot processes.
faked-tcp (1)        - daemon that remembers fake ownership/permissions of files manipulated by fakeroot processes.
fakeroot (1)         - run a command in an environment faking root privileges for file manipulation
fakeroot-sysv (1)    - run a command in an environment faking root privileges for file manipulation
fakeroot-tcp (1)     - run a command in an environment faking root privileges for file manipulation
fallocate (1)        - preallocate or deallocate space to a file
fallocate (2)        - manipulate file space
fanotify (7)         - monitoring filesystem events
fanotify_mark (2)    - add, remove, or modify an fanotify mark on a filesystem object
fatlabel (8)         - set or get MS-DOS filesystem label or volume ID
fc-cache (1)         - build font information cache files
fc-cat (1)           - read font information cache files
fc-conflist (1)      - list the configuration files processed by Fontconfig
fc-query (1)         - query font files
fc-scan (1)          - scan font files or directories
fc-validate (1)      - validate font files
fchmod (2)           - change permissions of a file
fchmodat (2)         - change permissions of a file
fchown (2)           - change ownership of a file
fchown32 (2)         - change ownership of a file
fchownat (2)         - change ownership of a file
fcntl (2)            - manipulate file descriptor
fcntl64 (2)          - manipulate file descriptor
fdatasync (2)        - synchronize a file's in-core state with storage device
fexecve (3)          - execute program specified via file descriptor
fgetgrent (3)        - get group file entry
fgetgrent_r (3)      - get group file entry reentrantly
fgetpwent (3)        - get password file entry
fgetpwent_r (3)      - get passwd file entry reentrantly
fgetspent (3)        - get shadow password file entry
fgetspent_r (3)      - get shadow password file entry
fgetwc (3)           - read a wide character from a FILE stream
fgetws (3)           - read a wide-character string from a FILE stream
fifo (7)             - first-in first-out special file, named pipe
file (1)             - determine file type
file-hierarchy (7)   - File system hierarchy overview
pc (5)               - pkg-config file format
pkgconf-personality (5) - pkgconf cross-compile personality file format
file2brl (1)         - Translate an xml or a text file into an embosser-ready braille file
File::BaseDir (3pm)  - Use the Freedesktop.org base directory specification
File::DesktopEntry (3pm) - Object to handle .desktop files
File::FcntlLock (3pm) - File locking with fcntl(2)
File::FcntlLock::Inline (3pm) - File locking with fcntl(2)
File::FcntlLock::Pure (3pm) - File locking with fcntl(2)
File::FcntlLock::XS (3pm) - File locking with fcntl(2)
File::IconTheme (3pm) - Find icon directories
File::Listing (3pm)  - Parse directory listing
File::MimeInfo (3pm) - Determine file type from the file name
File::MimeInfo::Applications (3pm) - Find programs to open a file by mimetype
File::MimeInfo::Cookbook (3pm) - various code snippets
File::MimeInfo::Magic (3pm) - Determine file type with magic
File::MimeInfo::Rox (3pm) - Open files by mimetype "Rox style"
File::UserDirs (3pm) - Find extra media and documents directories
filefrag (8)         - report on file fragmentation
filegone-bpfcc (8)   - Trace why file gone (deleted or renamed). Uses Linux eBPF/bcc.
filelife-bpfcc (8)   - Trace the lifespan of short-lived files. Uses Linux eBPF/bcc.
fileno (3)           - obtain file descriptor of a stdio stream
fileno_unlocked (3)  - nonlocking stdio functions
fileslower-bpfcc (8) - Trace slow synchronous file reads and writes.
filesystems (5)      - Linux filesystem types: ext, ext2, ext3, ext4, hpfs, iso9660, JFS, minix, msdos, ncpfs nfs, ntfs, proc, Reiserfs, smb, sysv, umsdos, vfat, XFS, xiafs
filetop-bpfcc (8)    - File reads and writes by filename and process. Top for files.
filter (7)           - cups file conversion filter interface
fincore (1)          - count pages of file contents in core
find (1)             - search for files in a directory hierarchy
findfs (8)           - find a filesystem by label or UUID
findmnt (8)          - find a filesystem
flock (2)            - apply or remove an advisory lock on an open file
flockfile (3)        - lock FILE for stdio
fnmatch (3)          - match filename or pathname
Font::AFM (3pm)      - Interface to Adobe Font Metrics files
fonts-conf (5)       - Font configuration files
fpathconf (3)        - get configuration values for files
fputwc (3)           - write a wide character to a FILE stream
fputws (3)           - write a wide-character string to a FILE stream
fs (5)               - Linux filesystem types: ext, ext2, ext3, ext4, hpfs, iso9660, JFS, minix, msdos, ncpfs nfs, ntfs, proc, Reiserfs, smb, sysv, umsdos, vfat, XFS, xiafs
fsadm (8)            - utility to resize or check filesystem on a device
fscanf (3)           - input FILE format conversion
fsck (8)             - check and repair a Linux filesystem
fsck.cramfs (8)      - fsck compressed ROM file system
fsck.ext2 (8)        - check a Linux ext2/ext3/ext4 file system
fsck.ext3 (8)        - check a Linux ext2/ext3/ext4 file system
fsck.ext4 (8)        - check a Linux ext2/ext3/ext4 file system
fsck.fat (8)         - check and repair MS-DOS FAT filesystems
fsck.minix (8)       - check consistency of Minix filesystem
fsck.msdos (8)       - check and repair MS-DOS FAT filesystems
fsck.reiserfs (8)    - The checking tool for the ReiserFS filesystem.
fsck.vfat (8)        - check and repair MS-DOS FAT filesystems
fseeko (3)           - seek to or report file position
fsfreeze (8)         - suspend access to a filesystem (Ext3/4, ReiserFS, JFS, XFS)
fstab (5)            - static information about the filesystems
fstat (2)            - get file status
fstat64 (2)          - get file status
fstatat (2)          - get file status
fstatat64 (2)        - get file status
fstatfs (2)          - get filesystem statistics
fstatfs64 (2)        - get filesystem statistics
fstatvfs (3)         - get filesystem statistics
fstrim (8)           - discard unused blocks on a mounted filesystem
fsync (2)            - synchronize a file's in-core state with storage device
ftello (3)           - seek to or report file position
ftp (1)              - Internet file transfer program
ftruncate (2)        - truncate a file to a specified length
ftruncate64 (2)      - truncate a file to a specified length
ftrylockfile (3)     - lock FILE for stdio
fts (3)              - traverse a file hierarchy
fts_children (3)     - traverse a file hierarchy
fts_close (3)        - traverse a file hierarchy
fts_open (3)         - traverse a file hierarchy
fts_read (3)         - traverse a file hierarchy
fts_set (3)          - traverse a file hierarchy
ftw (3)              - file tree walk
funlockfile (3)      - lock FILE for stdio
fuse (4)             - Filesystem in Userspace (FUSE) device
fuser (1)            - identify processes using files or sockets
fusermount (1)       - mount and unmount FUSE filesystems
fusermount3 (1)      - mount and unmount FUSE filesystems
futimens (3)         - change file timestamps with nanosecond precision
futimes (3)          - change file timestamps
futimesat (2)        - change timestamps of a file relative to a directory file descriptor
fwide (3)            - set and determine the orientation of a FILE stream
gai.conf (5)         - getaddrinfo(3) configuration file
gcore (1)            - Generate core files for running processes
gcov-dump (1)        - offline gcda and gcno profile dump tool
gcov-dump-13 (1)     - offline gcda and gcno profile dump tool
gcov-tool (1)        - offline gcda profile processing tool
gcov-tool-13 (1)     - offline gcda profile processing tool
gdb-add-index (1)    - Add index files to speed up GDB
genisoimage (1)      - create ISO9660/Joliet/HFS filesystem with optional Rock Ridge attributes
genisoimagerc (5)    - startup configuration file for genisoimage
getcap (8)           - examine file capabilities
getdirentries (3)    - get directory entries in a filesystem-independent format
getdtablesize (3)    - get file descriptor table size
getfacl (1)          - get file access control lists
getfsfile (3)        - handle fstab entries
getgrent (3)         - get group file entry
getgrent_r (3)       - get group file entry reentrantly
getgrgid (3)         - get group file entry
getgrgid_r (3)       - get group file entry
getgrnam (3)         - get group file entry
getgrnam_r (3)       - get group file entry
getmntent (3)        - get filesystem descriptor file entry
getmntent_r (3)      - get filesystem descriptor file entry
getpwent (3)         - get password file entry
getpwent_r (3)       - get passwd file entry reentrantly
getpwnam (3)         - get password file entry
getpwnam_r (3)       - get password file entry
getpwuid (3)         - get password file entry
getpwuid_r (3)       - get password file entry
getspent (3)         - get shadow password file entry
getspent_r (3)       - get shadow password file entry
getspnam (3)         - get shadow password file entry
getspnam_r (3)       - get shadow password file entry
getttyent (3)        - get ttys file entry
getttynam (3)        - get ttys file entry
getutent (3)         - access utmp file entries
getutent_r (3)       - access utmp file entries
getutid (3)          - access utmp file entries
getutid_r (3)        - access utmp file entries
getutline (3)        - access utmp file entries
getutline_r (3)      - access utmp file entries
getutxent (3)        - access utmp file entries
getutxid (3)         - access utmp file entries
getutxline (3)       - access utmp file entries
getwc (3)            - read a wide character from a FILE stream
git-add (1)          - Add file contents to the index
git-annotate (1)     - Annotate file lines with commit information
git-apply (1)        - Apply a patch to files and/or to the index
git-archive (1)      - Create an archive of files from a named tree
git-blame (1)        - Show what revision and author last modified each line of a file
git-bugreport (1)    - Collect information for user to file a bug report
git-cat-file (1)     - Provide contents or details of repository objects
git-check-ignore (1) - Debug gitignore / exclude files
git-checkout (1)     - Switch branches or restore working tree files
git-checkout-index (1) - Copy files from the index to the working tree
git-clean (1)        - Remove untracked files from the working tree
git-commit-graph (1) - Write and verify Git commit-graph files
git-diff-files (1)   - Compares files in the working tree and the index
git-fsmonitor--daemon (1) - A Built-in Filesystem Monitor
git-gc (1)           - Cleanup unnecessary files and optimize the local repository
git-hash-object (1)  - Compute object ID and optionally create an object from a file
git-index-pack (1)   - Build pack index file for an existing packed archive
git-ls-files (1)     - Show information about files in the index and the working tree
git-merge-file (1)   - Run a three-way file merge
git-merge-index (1)  - Run a merge for files needing merging
git-merge-one-file (1) - The standard helper program to use with git-merge-index
git-mv (1)           - Move or rename a file, a directory, or a symlink
git-pack-redundant (1) - Find redundant pack files
git-prune-packed (1) - Remove extra objects that are already in pack files
git-restore (1)      - Restore working tree files
git-rm (1)           - Remove files from the working tree and from the index
git-sparse-checkout (1) - Reduce your working tree to a subset of tracked files
git-stage (1)        - Add file contents to the staging area
git-unpack-file (1)  - Creates a temporary file with a blob's contents
git-update-index (1) - Register file contents in the working tree to the index
git-update-server-info (1) - Update auxiliary info file to help dumb servers
git-verify-pack (1)  - Validate packed Git archive files
gitformat-bundle (5) - The bundle file format
gitformat-chunk (5)  - Chunk-based file formats
gitignore (5)        - Specifies intentionally untracked files to ignore
gitweb.conf (5)      - Gitweb (Git web interface) configuration file
go-mtpfs (1)         - FUSE filesystem for mounting Android device as MTP device
gp-display-html (1)  - Generate an HTML based directory structure to browse the profiles
gpg-check-pattern (1) - Check a passphrase on stdin against the patternfile
gpgtar (1)           - Encrypt or sign files into an archive
gprof (1)            - display call graph profile data
group (5)            - user group file
group.conf (5)       - configuration file for the pam_group module
grpck (8)            - verify integrity of group files
grub-file (1)        - check file type
grub-fstest (1)      - debug tool for GRUB filesystem drivers
grub-kbdcomp (1)     - generate a GRUB keyboard layout file
grub-macbless (8)    - bless a mac file/directory
grub-mkconfig (8)    - generate a GRUB configuration file
grub-mkdevicemap (8) - make a device map file automatically
grub-mkfont (1)      - make GRUB font files
grub-mklayout (1)    - generate a GRUB keyboard layout file
grub-mount (1)       - export GRUB filesystem with FUSE
gshadow (5)          - shadowed group file
gtk-builder-tool (1) - GtkBuilder file utility
gtk4-builder-tool (1) - GtkBuilder File Utility
gunzip (1)           - compress or expand files
gzexe (1)            - compress executable files in place
gzip (1)             - compress or expand files
h2ph (1)             - convert .h C header files to .ph Perl header files
h2xs (1)             - convert .h C header files to Perl extensions
hardlink (1)         - link multiple copies of a file
hasmntopt (3)        - get filesystem descriptor file entry
hd (1)               - display file contents in hexadecimal, decimal, octal, or ascii
hdparm.conf (5)      - Debian configuration file for hdparm
head (1)             - output the first part of files
helpztags (1)        - generate the help tags file for directory
hexdump (1)          - display file contents in hexadecimal, decimal, octal, or ascii
hier (7)             - description of the filesystem hierarchy
host.conf (5)        - resolver configuration file
hostname (5)         - Local hostname configuration file
hosts.allow (5)      - format of host access control files
hosts.deny (5)       - format of host access control files
hosts_access (5)     - format of host access control files
HTML::Form::FileInput (3pm) - An HTML form file input element for use with HTML::Form
HTMLLinker (1)       - tool to fix up href references in HTML files
htmltree (1p)        - Parse the given HTML file(s) and dump the parse tree
HTTP::Cookies::Netscape (3pm) - Access to Netscape cookies files
iceauth (1)          - ICE authority file utility
initramfs.conf (5)   - configuration file for mkinitramfs
inode (7)            - file inode information
inotify (7)          - monitoring filesystem events
install (1)          - copy files and set attributes
intro (4)            - introduction to special files
intro (5)            - introduction to file formats and filesystems
IO::AtomicFile (3pm) - write a file which is updated atomically
IO::HTML (3pm)       - Open an HTML file with automatic charset detection
IO::InnerFile (3pm)  - define a file inside another file
IO::Wrap (3pm)       - wrap raw filehandles in IO::Handle interface
iocost.conf (5)      - Configuration files for the iocost solution manager
ioctl_fat (2)        - manipulating the FAT filesystem
ioctl_ficlone (2)    - share some the data of one file with another file
ioctl_ficlonerange (2) - share some the data of one file with another file
ioctl_fideduperange (2) - share some the data of one file with another file
ioctl_fslabel (2)    - get or set a filesystem label
ioctl_getfsmap (2)   - retrieve the physical layout of the filesystem
ioctl_userfaultfd (2) - create a file descriptor for handling page faults in user space
ipptoolfile (5)      - ipptool file format
isatty (3)           - test whether a file descriptor refers to a terminal
isfdtype (3)         - test file type of a file descriptor
isosize (8)          - output the length of an iso9660 filesystem
ispell-autobuildhash (8) - Autobuilding the ispell hash file for some dicts
issue (5)            - prelogin message and identification file
jfs_debugfs (8)      - shell-type JFS file system editor
jfs_fscklog (8)      - extract a JFS fsck service log into a file and/or format and display the extracted file
jfs_tune (8)         - adjust tunable file system parameters on JFS
join (1)             - join lines of two files on a common field
journald.conf (5)    - Journal service configuration files
journald.conf.d (5)  - Journal service configuration files
journald@.conf (5)   - Journal service configuration files
jpgicc (1)           - little cms ICC profile applier for JPEG.
kbuildsycoca5 (8)    - Rebuilds the KService desktop file system configuration cache
kexec_file_load (2)  - load a new kernel for later execution
keyboard (5)         - keyboard configuration file
kup-filedigger (1)   - a program to explore and restore files from bup archives
lame (1)             - create mp3 audio files
lchown (2)           - change ownership of a file
lchown32 (2)         - change ownership of a file
lckpwdf (3)          - get shadow password file entry
ldap.conf (5)        - LDAP configuration file/environment variables
lessfile (1)         - "input preprocessor" for less.
libaudit.conf (5)    - libaudit configuration file
libpipewire-module-profiler (7) - Profiler
limits.conf (5)      - configuration file for the pam_limits module
link (1)             - call the link function to create a link to a file
link (2)             - make a new name for a file
linkat (2)           - make a new name for a file
llseek (2)           - reposition read/write file offset
lmhosts (5)          - The Samba NetBIOS hosts file
ln (1)               - make links between files
locale (5)           - describes a locale definition file
locale-gen (8)       - generate localisation files from templates
locale.conf (5)      - Configuration file for locale settings
locale.gen (5)       - Configuration file for locale-gen
localedef (1)        - compile locale definition files
localtime (5)        - Local timezone configuration file
locate (1)           - find files by name, quickly
lockf (3)            - apply, test or remove a POSIX lock on an open file
loff_t (3type)       - file sizes
logind.conf (5)      - Login manager configuration files
logind.conf.d (5)    - Login manager configuration files
logsave (8)          - save the output of a command in a logfile
logwtmp (3)          - append an entry to the wtmp file
lp (1)               - print files
lpr (1)              - print files
lsar (1)             - list archive file contents
lsattr (1)           - list file attributes on a Linux second extended file system
lseek (2)            - reposition read/write file offset
lseek64 (3)          - reposition 64-bit read/write file offset
lsfd (1)             - list file descriptors
lsof (8)             - list open files
lstat (2)            - get file status
lstat64 (2)          - get file status
lto-dump-13 (1)      - Tool for dumping LTO object files
lutimes (3)          - change file timestamps
